,Class,Precision,Recall,F1-Score
0,0,0.7811704834605598,0.7368,0.7583367641004528
1,1,0.6128407361284074,0.8858,0.7244622556636952
2,2,0.5722619221233776,0.7848,0.661887492620393
3,3,0.8079470198675497,0.8052,0.8065711709906842
4,4,0.9747875354107649,0.6882,0.806799531066823
5,5,0.9414597060314243,0.743,0.8305387882852672
6,6,0.8550130450987701,0.9176,0.8852016206830021
7,7,0.6872006606110652,0.8322,0.7527815468113975
8,8,0.9282438629619638,0.6882,0.7903985299184564
9,9,0.9294215333517852,0.6716,0.779751538372228
